Département;Participation;Hollande;Sarkozy;Le Pen;Mélenchon;Bayrou;Joly;Dupont-Aignan;Poutou;Arthaud;Cheminade
EURE ET LOIR;81.0;25.7;29.4;20.7;9.0;9.2;1.6;2.2;1.2;0.7;0.3
FINISTERE;84.2;33.7;24.5;12.0;11.5;11.3;3.0;1.8;1.5;0.6;0.3
GARD;82.9;24.1;24.9;25.5;13.3;6.9;2.1;1.5;1.0;0.5;0.2
HAUTE GARONNE;83.5;32.8;22.8;15.3;13.4;9.3;3.0;1.5;1.1;0.4;0.3
GERS;85.8;31.9;24.1;15.9;12.1;10.0;2.3;1.8;1.2;0.5;0.3
GIRONDE;82.7;31.8;24.8;15.6;11.7;9.7;2.4;1.6;1.7;0.5;0.2
HERAULT;82.2;26.7;25.3;22.3;13.3;6.9;2.5;1.4;1.0;0.4;0.2
ILLE ET VILAINE;84.7;31.8;26.0;12.4;10.4;12.4;3.2;1.8;1.2;0.7;0.2
INDRE;82.0;29.9;24.2;19.6;11.3;9.0;1.5;2.2;1.4;0.9;0.3
INDRE ET LOIRE;82.7;28.1;28.2;16.0;10.9;10.3;2.2;2.0;1.3;0.7;0.3
ISERE;82.6;27.8;25.0;19.0;12.4;9.1;3.0;1.9;1.0;0.5;0.3
JURA;83.6;24.6;25.8;20.4;12.6;9.6;2.4;2.3;1.3;0.7;0.3
LANDES;83.8;32.8;24.6;14.1;12.5;10.4;1.8;1.6;1.5;0.5;0.2
LOIR ET CHER;82.8;25.0;28.4;20.9;9.9;9.8;1.7;2.1;1.3;0.7;0.3
LOIRE;82.5;26.5;25.1;21.6;11.2;9.8;2.0;2.1;1.1;0.6;0.2
HAUTE LOIRE;84.5;26.4;24.4;20.4;11.2;11.2;2.1;2.1;1.3;0.7;0.2
LOIRE ATLANTIQUE;84.2;31.8;26.1;12.2;11.7;11.3;3.2;1.8;1.3;0.6;0.2
LOIRET;81.9;25.5;29.3;20.6;9.5;9.3;1.9;2.1;1.0;0.6;0.3
LOT;86.1;34.5;21.4;13.5;14.4;9.3;2.7;1.9;1.5;0.6;0.3
LOT ET GARONNE;83.3;26.9;25.3;21.4;11.7;8.9;1.9;1.8;1.4;0.5;0.2
LOZERE;85.2;25.2;27.8;17.3;12.4;11.0;2.6;1.7;1.3;0.5;0.2
MAINE ET LOIRE;84.4;27.1;29.9;13.9;9.4;12.8;2.4;2.2;1.4;0.8;0.3
MANCHE;83.1;27.0;28.8;16.6;9.9;11.2;1.8;2.3;1.4;0.7;0.3
MARNE;79.1;24.1;29.9;22.4;8.5;9.5;1.5;2.0;1.2;0.7;0.2
